bu_code,bu_naam,g_gas_tot
BU03440524,Watervogelbuurt,1000
BU03440526,Maarschalkerweerd en Mereveld,1950
BU03440711,Lunetten-Noord,950
BU03440712,Lunetten-Zuid,950
BU03440731,Bokkenbuurt,900
BU03440733,Nieuw Hoograven-Zuid,1050
BU03440812,Rivierenwijk,850
BU03440832,Kanaleneiland-Noord,700
BU03440951,Rijnvliet,2800
BU03440953,Bedrijvengebied Papendorp,-99999999
BU03440111,"Welgelegen, Den Hommel",400
BU03440112,Oog in Al,1550
BU03440113,Halve Maan-Zuid,900
BU03440114,Halve Maan-Noord,1100
BU03440122,Leidseweg en omgeving,1050
BU03440123,Lombok-West,1100
BU03440124,Laan van Nieuw Guinea-Spinozaplantsoen,1000
BU03440131,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1100
BU03440132,Schepenbuurt bedrijvengebied Cartesiusweg,1300
BU03440133,Bedrijventerrein Lageweide,1250
BU03440222,Ondiep,900
BU03440223,2e Daalsebuurt en omgeving,850
BU03440224,"Elegantierstraat, MariÃ«ndaalstraat en omgeving",1050
BU03440231,Julianapark en omgeving,1100
BU03440232,Elinkwijk en omgeving,1150
BU03440233,Prins Bernhardplein en omgeving,1050
BU03440241,Geuzenwijk,900
BU03440242,Schaakbuurt en omgeving,650
BU03440243,Queeckhovenplein en omgeving,1000
BU03440244,Zuilen-Noord,1000
BU03440331,Vechtzoom-zuid,200
BU03440332,"Vechtzoom-noord, Klopvaart",650
BU03440333,Bedrijventerrein en omgeving,2650
BU03440823,Transwijk-Noord,500
BU03440911,Bedrijventerrein De Wetering,-99999999
BU03440912,Terwijde-West,0
BU03440913,Terwijde-Oost,0
BU03440921,Het Zand-West,100
BU03440922,Het Zand-Oost,100
BU03440931,Leidsche Rijn-Centrum,-99999999
BU03440932,Grauwaart,0
BU03440933,Hoge Weide,-99999999
BU03440934,Leeuwesteyn,-99999999
BU03440941,Parkwijk-Noord,0
BU03440942,Parkwijk-Zuid,0
BU03440943,Langerak,100
BU03441011,Haarrijn,2700
BU03441012,Haarzuilens en omgeving,2100
BU03441013,Vleuten,1200
BU03441014,Leidsche Rijn Park,2050
BU03441021,Vleuterweide-West,1000
BU03441022,Vleuterweide-Noord/Oost/Centrum,900
BU03441023,Vleuterweide-Zuid,1000
BU03441024,Veldhuizen,950
BU03441031,De Meern-Noord,900
BU03440211,Pijlsweerd-Zuid,800
BU03440212,Pijlsweerd-Noord,900
BU03440221,"Nijenoord, Hoogstraat en omgeving",950
BU03440311,Taag- en Rubicondreef en omgeving,450
BU03440312,Wolga- en Donaudreef en omgeving,250
BU03440321,Zamenhofdreef en omgeving,100
BU03440322,Neckardreef en omgeving,250
BU03440341,Zambesidreef en omgeving,200
BU03440342,Tigrisdreef en omgeving,300
BU03440343,Poldergebied Overvecht,1950
BU03440411,Vogelenbuurt,1200
BU03440412,Lauwerecht,850
BU03440413,Staatsliedenbuurt,450
BU03440414,Tuinwijk-West,1200
BU03440415,Tuinwijk-Oost,1250
BU03440421,Tuindorp en Van Lieflandlaan-West,1200
BU03440422,Tuindorp-Oost,1150
BU03440423,Voordorp en Voorveldsepolder,900
BU03440431,"Huizingalaan, K. Doormanlaan en omgeving",150
BU03440432,"Zeeheldenbuurt, Hengeveldstraat en omgeving",1000
BU03440433,Wittevrouwen,1100
BU03440511,Buiten Wittevrouwen,800
BU03440512,Oudwijk,1050
BU03440521,Abstede,1000
BU03440522,Tolsteegsingel,1250
BU03440523,Rubenslaan en omgeving,200
BU03440531,Schildersbuurt,1100
BU03440532,Wilhelminapark en omgeving,1200
BU03440533,De Uithof,-99999999
BU03440534,Rijnsweerd,400
BU03440535,Galgenwaard en omgeving,0
BU03440611,"Domplein, Neude, Janskerkhof",450
BU03440612,"Lange Elisabethstraat, Mariaplaats en omgeving",450
BU03440613,Hoog-Catharijne NS en Jaarbeurs,250
BU03440621,Wijk C,700
BU03440622,Breedstraat en Plompetorengracht en omgeving,650
BU03440623,Nobelstraat en omgeving,350
BU03440624,Springweg en omgeving Geertebuurt,650
BU03440625,Lange Nieuwstraat en omgeving,600
BU03440626,Nieuwegracht-Oost,550
BU03440628,Hooch Boulandt,250
BU03440811,Dichterswijk,750
BU03440627,Bleekstraat en omgeving,850
BU03440121,Lombok-Oost,1050
BU03440525,L. Napoleonplantsoen en omgeving,1050
BU03440721,Tolsteeg en Rotsoord,900
BU03440722,Oud Hoograven-Noord,1200
BU03440732,Nieuw Hoograven-Noord,850
BU03440723,Oud Hoograven-Zuid,1100
BU03440821,Bedrijvengebied Kanaleneiland,1300
BU03440822,Transwijk-Zuid,150
BU03440952,Bedrijvengebied Strijkviertel,-99999999
BU03440831,Kanaleneiland-Zuid,350
BU03441032,De Meern-Zuid,1350
BU03441033,Bedrijvengebied Oudenrijn,1650
BU03441041,Rijnenburg,2200
